",""text"""
"375,""parah bayar transfer via allikasi dana verifikasi menunggu x jam pesanan automatis gagal dana nya ga refund hub cs susah bayak bebelit email tetek bengeknya muter doang lelahk udh kirim screnshot lengkap ttp aj ulasan lengkap"""
"376,""pelayanan kurang ramah  pembeli raja coba ramah dikit gu"""
"377,""pengiriman cepat"""
"378,""pengiriman lewat shopee express banget"""
"379,""pesanan sesuai yang diinginkan bagus"""
"380,""puas belanja shopee"""
"381,""puas bgt belanja shopee gratis ongkir semoga meningkat mnjd baik memuaskan pembeli """
"382,""response komplain baik digantikan rugi voucher nominal tim cs nya kesalahan pengiriman barang """
"383,""sae pisan"""
"384,""salah satu olshop terbaik """
"385,"" baik"""
"386,"" membantu klo barang nyh yang ori nyah perbanyak yang murah yh"""
"387,"" membantu membeli kebutuhan yang diinginkan terima kasihh shopee lupa bulannya kasih gratis ongkir ka """
"388,"" membantu skali  resseler"""
"389,"" membantu  mencari kebutuhan hidup """
"390,"" terbantu shope """
"391,"" kecewa keamanan pihak shoppee akun d blokir waktu d blokir orang yang menelpon mentidaku pihak shoppee undian d suruh transfer sejumlah uang rp juta membuka aplikasi shoope ulasan lengkap"""
"392,"" belanja  jual gratis ongkir terbatas tambah lg gratis ongkir """
"393,"" masuk akun shopee lewat fb lupa no hp yang daftakan gimana solusinya """
"394,"" menggunakan shopee dgn baik sistem nya cod mengotak ngatiknya jasa kirim kota  perbaiki shopee ku """
"395,"" mengenal shopee jdi belanja mudah gunakan  usaha kecilan"""
"396,"" klo belanja udh langganan shopee produk original voucher diskon jadi suka bgt deh"""
"397,"" belanja lewat shopee belum kecewa pelayanan bagus tips dr sya terhindar dr kecewa belanja lewat shopee belanja liat review orang yang udh belanja toko tsb jd tau kualitasnya sesuai ga dgn yang """
"398,""selamat siang ibu bapak komplain jadi menjual kemaren masukkan ongkos kirim diisi berat nya ukuran paketnya tetep aja ga ya ibu bapak """
"399,""semoga aplikasi tambah lancar"""
"400,""shoope pay later tidak limit mengajukan limit"""
"401,""shopee menjadi kepercayaan berbelanja online memanjakan pelanggannya trima kasih shopee"""
"402,""shopee candy masa load terus udah kali update aja tidak gimanasiiiii"""
"403,""shopee mnt update trus kezellll"""
"404,""shopee salah satu layanan yang membantu dlm memfasilitasi pembelian via online"""
"405,""shopee bagus diskonya lumayan gede"""
"406,""shopee membantu belanja sajah bagus """
"407,""shopee mudah digunakan disana mendapatkan poin bermain game shopee tampilan bagus tersusun rapi terimakasih shopee memudahkan berbelanja online semoga sukses nikah tetap sekian atas komentarnya terimakasih """
"408,""shopee terbaik makasih ya shopee"""
"409,""shopelater ya limitnya shope bangkrut """
"410,""shoppe bagusppppp banget"""
"411,""siip"""
"412,""mudah"""
"413,""sippp"""
"414,""so far shopee"""
"415,""sopi omong kosong gratis ogkir"""
"416,"" beli voucher gratis ongkir tidak dipakai maksudnya sih ya tidak dipakai mending tidak usah jualan voucher gratis ongkir ditambah pengiriman barang beda pembayaran selesai jarak dikemas dikirim barang ulasan lengkap"""
"417,""suka"""
"418,""suka banget"""
"419,""suka banget sistem pembyaran cod tp kenapa  klo sistem cod produk banget prosesnya ak ud cancel x orderan prosesnya chat penjual nya jwb nya tar sok tar sok sampe kesal  lg orderan jg tp poses nya co """
